reference_month,ticker,value,unit,seasonal_adjustment,report_month,report_release_date,source_id,source_url,table_index_zero_based,observation_role
2024-12,NAPMC@USECON,49.2,diffusion_index,composite_of_adjusted_and_unadjusted_subindexes,2025-11,2025-12-01,manufacturing_2025-11,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-48-2-november-2025-ism-manufacturing-pmi-report-302626979.html,1,retrospective_table
2025-01,NAPMC@USECON,50.9,diffusion_index,composite_of_adjusted_and_unadjusted_subindexes,2025-11,2025-12-01,manufacturing_2025-11,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-48-2-november-2025-ism-manufacturing-pmi-report-302626979.html,1,retrospective_table
2025-02,NAPMC@USECON,50.3,diffusion_index,composite_of_adjusted_and_unadjusted_subindexes,2025-11,2025-12-01,manufacturing_2025-11,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-48-2-november-2025-ism-manufacturing-pmi-report-302626979.html,1,retrospective_table
2025-03,NAPMC@USECON,48.9,diffusion_index,composite_of_adjusted_and_unadjusted_subindexes,2026-02,2026-03-02,manufacturing_2026-02,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-52-4-february-2026-ism-manufacturing-pmi-report-302699883.html,1,retrospective_table
2025-03,NMFC@SURVEYS,50.8,diffusion_index,composite_of_adjusted_and_unadjusted_subindexes,2026-02,2026-03-04,services_2026-02,https://www.prnewswire.com/news-releases/services-pmi-at-56-1-february-2026-ism-services-pmi-report-302702978.html,1,retrospective_table
2025-04,NAPMC@USECON,48.8,diffusion_index,composite_of_adjusted_and_unadjusted_subindexes,2026-02,2026-03-02,manufacturing_2026-02,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-52-4-february-2026-ism-manufacturing-pmi-report-302699883.html,1,retrospective_table
2025-04,NMFC@SURVEYS,51.6,diffusion_index,composite_of_adjusted_and_unadjusted_subindexes,2026-02,2026-03-04,services_2026-02,https://www.prnewswire.com/news-releases/services-pmi-at-56-1-february-2026-ism-services-pmi-report-302702978.html,1,retrospective_table
2025-05,NAPMC@USECON,48.6,diffusion_index,composite_of_adjusted_and_unadjusted_subindexes,2026-02,2026-03-02,manufacturing_2026-02,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-52-4-february-2026-ism-manufacturing-pmi-report-302699883.html,1,retrospective_table
2025-05,NMFC@SURVEYS,50.2,diffusion_index,composite_of_adjusted_and_unadjusted_subindexes,2026-02,2026-03-04,services_2026-02,https://www.prnewswire.com/news-releases/services-pmi-at-56-1-february-2026-ism-services-pmi-report-302702978.html,1,retrospective_table
2025-06,NAPMC@USECON,49.0,diffusion_index,composite_of_adjusted_and_unadjusted_subindexes,2026-05,2026-06-01,manufacturing_2026-05,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-54-may-2026-ism-manufacturing-pmi-report-302786165.html,1,retrospective_table
2025-06,NMFC@SURVEYS,50.8,diffusion_index,composite_of_adjusted_and_unadjusted_subindexes,2026-02,2026-03-04,services_2026-02,https://www.prnewswire.com/news-releases/services-pmi-at-56-1-february-2026-ism-services-pmi-report-302702978.html,1,retrospective_table
2025-07,NAPMC@USECON,48.4,diffusion_index,composite_of_adjusted_and_unadjusted_subindexes,2026-05,2026-06-01,manufacturing_2026-05,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-54-may-2026-ism-manufacturing-pmi-report-302786165.html,1,retrospective_table
2025-07,NMFC@SURVEYS,50.5,diffusion_index,composite_of_adjusted_and_unadjusted_subindexes,2026-02,2026-03-04,services_2026-02,https://www.prnewswire.com/news-releases/services-pmi-at-56-1-february-2026-ism-services-pmi-report-302702978.html,1,retrospective_table
2025-08,NAPMC@USECON,48.9,diffusion_index,composite_of_adjusted_and_unadjusted_subindexes,2026-05,2026-06-01,manufacturing_2026-05,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-54-may-2026-ism-manufacturing-pmi-report-302786165.html,1,retrospective_table
2025-08,NAPMEI@USECON,43.8,diffusion_index,SA,2025-11,2025-12-01,manufacturing_2025-11,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-48-2-november-2025-ism-manufacturing-pmi-report-302626979.html,4,retrospective_table
2025-08,NAPMII@USECON,49.4,diffusion_index,SA,2025-11,2025-12-01,manufacturing_2025-11,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-48-2-november-2025-ism-manufacturing-pmi-report-302626979.html,6,retrospective_table
2025-08,NAPMNI@USECON,51.4,diffusion_index,SA,2025-11,2025-12-01,manufacturing_2025-11,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-48-2-november-2025-ism-manufacturing-pmi-report-302626979.html,2,retrospective_table
2025-08,NAPMOI@USECON,47.8,diffusion_index,SA,2025-11,2025-12-01,manufacturing_2025-11,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-48-2-november-2025-ism-manufacturing-pmi-report-302626979.html,3,retrospective_table
2025-08,NAPMPI@USECON,63.7,diffusion_index,NSA,2025-11,2025-12-01,manufacturing_2025-11,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-48-2-november-2025-ism-manufacturing-pmi-report-302626979.html,8,retrospective_table
2025-08,NAPMVDI@USECON,51.3,diffusion_index,NSA,2025-11,2025-12-01,manufacturing_2025-11,https://www.prnewswire.com/news-releases/manufacturing-pmi-at-48-2-november-2025-ism-manufacturing-pmi-report-302626979.html,5,retrospective_table
2025-08,NMFC@SURVEYS,51.9,diffusion_index,composite_of_adjusted_and_unadjusted_subindexes,2026-02,2026-03-04,services_2026-02,https://www.prnewswire.com/news-releases/services-pmi-at-56-1-february-2026-ism-services-pmi-report-302702978.html,1,retrospective_table
2025-09,NAPMC@USECON,48.9,diffusion_index,composite_of_adjusted_and_unadjusted_subindexes,2026-08,2026-09-01,manufacturing_2026-08,https://www.ismworld.org/supply-management-news-and-reports/reports/ism-pmi-reports/pmi/august/,2,retrospective_table
